iter	RMSE
0	2382813.561
1	2264553.953
2	2157124.179
3	2059592.962
4	1978571.212
5	1896189.171
6	1818398.686
7	1753240.612
8	1688916.655
9	1632267.342
10	1583537.335
11	1539735.507
12	1498066.374
13	1462166.063
14	1431790.103
15	1397804.624
16	1366090.029
17	1339830.256
18	1316520.936
19	1294757.496
20	1276184.068
21	1260643.091
22	1246060.838
23	1231782.806
24	1219364.476
25	1207810.318
26	1198445.763
27	1189511.891
28	1180380.126
29	1172163.1
30	1163192.488
31	1154367.944
32	1147944.805
33	1139937.41
34	1134282.819
35	1128679.621
36	1123354.303
37	1118454.856
38	1113232.732
39	1109361.721
40	1104408.148
41	1099905.232
42	1095178.884
43	1091626.988
44	1087691.73
45	1082669.273
46	1078814.114
47	1075724.943
48	1072935.725
49	1069874.775
50	1067529.74
51	1063774.016
52	1060763.855
53	1058881.846
54	1056522.932
55	1054783.433
56	1051330.71
57	1049393.285
58	1047264.023
59	1043281.95
60	1041340.341
61	1038125.127
62	1035164.675
63	1030768.326
64	1028775.127
65	1026249.36
66	1024457.716
67	1022787.973
68	1020530.314
69	1018749.746
70	1016890.111
71	1014073.316
72	1011765.835
73	1009926.757
74	1007698.019
75	1005750.621
76	1004279.247
77	1002591.26
78	1000210.793
79	998028.0813
80	996087.974
81	994475.0267
82	993179.8332
83	990964.1566
84	989569.116
85	987106.1469
86	985258.0324
87	983809.6869
88	982335.6059
89	981330.7821
90	979362.9288
91	977638.7439
92	975956.2123
93	975035.4139
94	973391.7457
95	972093.5902
96	970659.8984
97	969820.5363
98	968251.5095
99	966788.8107
100	965641.2336
101	963838.4838
102	962859.5905
103	961830.6359
104	960510.7326
105	959661.1673
106	958505.29
107	957304.9108
108	956276.4983
109	954907.3357
110	953369.2022
111	952396.0114
112	951357.1859
113	950028.0329
114	948629.4055
115	946966.7289
116	946208.8058
117	945178.3579
118	944203.5208
119	943218.0026
120	942058.893
121	940845.482
122	939607.8246
123	938371.7348
124	937488.7949
125	936798.4076
126	935711.6872
127	935079.8409
128	934278.3817
129	933694.5
130	932945.7037
131	932137.0662
132	931318.2737
133	930222.612
134	929165.5883
135	927965.3065
136	927114.5701
137	926097.0595
138	924521.3748
139	923432.2041
140	922663.8539
141	921900.8975
142	921039.5422
143	920436.8014
144	919056.1867
145	918255.3697
146	917552.8521
147	916667.5402
148	916136.3129
149	915545.2266
150	914832.3856
151	913728.3906
152	912226.362
153	911739.5517
154	911125.2886
155	910497.6167
156	909573.1912
157	908598.15
158	908224.1759
159	907720.6325
160	907116.2742
161	906376.51
162	905890.1153
163	905530.9137
164	904846.4216
165	903879.6238
166	902898.9677
167	902400.0072
168	901644.0603
169	901144.3507
170	900272.6932
171	899648.8168
172	898936.8625
173	898347.3407
174	897490.6454
175	896528.0182
176	895843.2519
177	895261.8182
178	895008.4801
179	894310.7798
180	893523.0334
181	892915.8705
182	891950.8632
183	891398.1404
184	891084.0757
185	890191.9193
186	889885.995
187	889180.4573
188	888284.9404
189	887798.8304
190	887566.4187
191	887016.8578
192	886298.1402
193	885706.605
194	885122.8037
195	884718.1762
196	884296.1919
197	884006.1054
198	883421.2977
199	882674.3309
200	882218.5203
201	881625.1703
202	881333.5888
203	880931.6596
204	880226.3936
205	879794.6119
206	879432.6041
207	879195.3746
208	878878.8134
209	878138.7152
210	877140.2087
211	876043.8012
212	875242.1643
213	874793.7948
214	874454.9594
215	873834.8879
216	873343.0535
217	872825.0201
218	872468.1561
219	871902.6875
220	871056.5169
221	870309.754
222	869910.3516
223	869347.7296
224	868822.6462
225	868484.1996
226	867944.2766
227	867405.9133
228	866826.5944
229	866348.5327
230	865923.8378
231	865509.1455
232	864721.0946
233	864065.5929
234	863342.5466
235	862858.0277
236	862622.6192
237	862327.789
238	861982.7872
239	861484.371
240	860948.8264
241	860705.1737
242	859949.0574
243	859755.1211
244	859575.3366
245	859213.989
246	858923.7202
247	858334.2262
248	857992.0586
249	857854.5189
250	857073.7316
251	856897.537
252	856621.4886
253	856319.7567
254	855839.9179
255	855508.0845
256	854844.2904
257	853899.5718
258	853724.8283
259	853223.1043
260	852610.9426
261	851923.9572
262	851532.9762
263	851209.1823
264	850796.0595
265	850191.3954
266	849243.0113
267	848466.9436
268	848128.9983
269	847839.5583
270	847485.0892
271	846981.6275
272	846475.4828
273	845625.0371
274	845596.8337
275	845118.941
276	844289.7895
277	843988.0135
278	843889.4111
279	843558.4763
280	843273.643
281	843102.8625
282	842653.3052
283	842526.8965
284	842425.5663
285	842265.0194
286	841663.3425
287	841381.0511
288	841053.9242
289	840874.7506
290	840676.0571
291	840321.7494
292	839959.6747
293	839741.9906
294	839358.2689
295	838921.2879
296	838776.6136
297	838466.5511
298	837742.5184
299	837181.315
300	837003.8173
301	836907.1515
302	836252.9295
303	835652.2544
304	835543.0064
305	835126.3616
306	834818.9264
307	834519.5116
308	834279.9621
309	834030.5935
310	833589.9215
311	833418.6189
312	833160.9868
313	832951.0858
314	832485.692
315	832358.0192
316	832092.1556
317	831940.6496
318	831857.9219
319	831586.2708
320	831428.9584
321	831287.1911
322	831042.9325
323	830401.7822
324	830009.1368
325	829840.8856
326	829556.4848
327	829265.7356
328	828925.9618
329	828578.2134
330	828194.3939
331	827398.1937
332	827267.43
333	826979.7587
334	826705.0986
335	826437.6321
336	825908.4502
337	825810.0399
338	825588.333
339	825126.036
340	824710.0172
341	824594.6189
342	824444.7272
343	824196.862
344	823965.1776
345	823592.7183
346	823256.6298
347	823191.5001
348	822910.3474
349	822709.8655
350	822488.5811
351	822215.3926
352	822104.8473
353	821826.3239
354	821734.8074
355	821495.6888
356	820849.9248
357	820667.2972
358	820283.0241
359	819913.6467
360	819381.8499
361	819163.9581
362	819042.5568
363	818908.0745
364	818694.5283
365	818501.7845
366	818369.9415
367	818254.7286
368	817869.2465
369	817498.5081
370	817296.5946
371	816983.5862
372	816429.434
373	816126.0269
374	815953.5681
375	815640.915
376	815549.2682
377	815207.7739
378	814962.1952
379	814734.4168
380	814479.4363
381	814220.8713
382	813894.9128
383	813717.6688
384	813654.7253
385	813561.8891
386	813468.0412
387	813329.8563
388	813184.8936
389	812691.2048
390	812156.0163
391	811980.2838
392	811535.7805
393	811306.3656
394	811006.3438
395	810717.2907
396	810662.0041
397	810599.7509
398	810562.1319
399	810057.7412
400	809898.6403
401	809569.1611
402	809379.0225
403	808902.4417
404	808797.4853
405	808656.1784
406	808371.7819
407	807898.2331
408	807741.0546
409	807489.1347
410	807368.5635
411	807205.849
412	807048.6049
413	806626.7098
414	806497.4284
415	806208.8549
416	806065.8227
417	805765.9667
418	805357.8571
419	805105.971
420	804889.7632
421	804657.692
422	804507.2203
423	804286.5007
424	804132.5533
425	803861.1163
426	803727.15
427	803249.0829
428	803001.6584
429	802831.0265
430	802505.4842
431	801883.2009
432	801791.16
433	801681.8819
434	801407.7414
435	801300.4109
436	801043.8955
437	800885.2941
438	800351.7005
439	799985.1143
440	799884.7002
441	799610.4027
442	799213.0326
443	798662.5128
444	798615.7882
445	798299.7276
446	798062.6727
447	797923.1151
448	797721.8043
449	797321.1384
450	796896.6267
451	796698.8447
452	796401.3749
453	796146.6053
454	795937.5143
455	795819.3068
456	795656.6342
457	795537.2937
458	795246.3871
459	795107.0142
460	795006.3689
461	794849.1269
462	794714.013
463	794518.9829
464	794253.1319
465	793966.4712
466	793894.8011
467	793641.9983
468	793584.8369
469	793499.8835
470	793390.2887
471	793268.2282
472	793089.1769
473	792610.0814
474	792580.7251
475	792188.1202
476	792145.7063
477	791982.6776
478	791729.1844
479	791653.8314
480	791546.7748
481	791339.5418
482	791222.9181
483	790836.0589
484	790683.5311
485	790327.3322
486	789974.115
487	789759.3092
488	789422.164
489	789083.2288
490	788971.6266
491	788657.8642
492	788578.9752
493	788410.3019
494	788177.1016
495	787986.6603
496	787870.5933
497	787774.1113
498	787635.936
499	787564.9313
500	787418.4202
501	787288.3854
502	787239.2189
503	787199.1034
504	787065.4079
505	786875.6412
506	786780.8609
507	786487.1971
508	786167.1551
509	785941.7807
510	785744.3397
511	785431.3002
512	785151.6626
513	785068.2311
514	784975.331
515	784944.9486
516	784708.752
517	784549.1172
518	784405.2737
519	784331.6065
520	784162.3297
521	784080.0503
522	783909.2875
523	783831.3531
524	783726.4996
525	783593.7569
526	783454.1532
527	783207.0451
528	783106.1701
529	782932.1136
530	782725.6883
531	782621.862
532	782530.0546
533	782480.8758
534	782257.1413
535	782138.9041
536	781998.5037
537	781787.6721
538	781740.2632
539	781657.8821
540	781442.1948
541	781283.8075
542	781163.2538
543	781115.4944
544	780852.4643
545	780749.9371
546	780695.8093
547	780432.5489
548	780390.1265
549	780366.3974
550	780279.2372
551	779991.2036
552	779628.8718
553	779253.832
554	779120.1552
555	778865.434
556	778570.5544
557	778192.7976
558	777920.3789
559	777845.3736
560	777738.9392
561	777650.0586
562	777469.8554
563	777101.9905
564	776878.4511
565	776807.8268
566	776630.4413
567	776509.1763
568	776312.808
569	776065.5789
570	775889.1877
571	775850.6417
572	775827.2272
573	775446.658
574	775164.0269
575	774983.5847
576	774932.0202
577	774795.7886
578	774492.8183
579	774347.601
580	774301.6975
581	774195.9912
582	773945.2433
583	773753.7699
584	773696.832
585	773474.439
586	773324.3773
587	773232.0907
588	773044.8
589	772722.9688
590	772571.8534
591	772397.4606
592	772231.512
593	772145.3447
594	771988.5851
595	771864.8453
596	771779.1947
597	771583.7846
598	771555.5101
599	771393.7188
600	771302.9118
601	771181.4805
602	771076.3536
603	770965.8472
604	770844.7133
605	770689.3518
606	770458.3483
607	770217.03
608	769999.7976
609	769814.5356
610	769626.1317
611	769485.6493
612	769249.8984
613	769102.752
614	768913.6837
615	768812.6762
616	768718.9332
617	768527.7192
618	768415.0868
619	768186.1255
620	768125.2923
621	768061.7167
622	767912.2666
623	767813.1906
624	767548.4767
625	767293.5277
626	767202.2621
627	767054.1531
628	767011.6047
629	766850.3674
630	766667.6734
631	766438.1216
632	766185.4254
633	765924.8619
634	765871.8236
635	765715.9293
636	765457.3397
637	765335.1064
638	765188.0568
639	765095.8486
640	765008.4085
641	764940.8899
642	764615.409
643	764510.3094
644	764413.2026
645	764211.5049
646	764137.5697
647	764048.0342
648	763970.8139
649	763822.0279
650	763778.7042
651	763538.8027
652	763408.1873
653	763297.6729
654	763100.8797
655	763019.3721
656	762993.3976
657	762949.2698
658	762727.5893
659	762580.8027
660	762384.073
661	762242.6674
662	762157.5254
663	761961.7719
664	761848.0099
665	761793.9115
666	761675.6471
667	761373.9132
668	761249.4213
669	761045.4093
670	760894.6014
671	760487.3373
672	760439.2954
673	760369.0439
674	760249.856
675	760067.28
676	760042.2861
677	759963.0035
678	759871.1781
679	759811.3172
680	759724.8184
681	759689.6575
682	759561.0309
683	759269.3448
684	759177.8529
685	759109.4187
686	759093.9655
687	758930.1637
688	758798.7807
689	758616.843
690	758535.8698
691	758404.6796
692	758317.6872
693	758062.4707
694	757995.6178
695	757844.1607
696	757701.7642
697	757646.5048
698	757574.4244
699	757415.702
700	757281.4196
701	757145.1517
702	756963.8225
703	756846.6468
704	756728.6749
705	756714.7322
706	756527.9308
707	756358.5682
708	756245.5792
709	756053.5982
710	755799.7616
711	755637.7388
712	755579.7272
713	755449.7692
714	755267.4323
715	755144.5315
716	755139.3517
717	755037.5053
718	754992.315
719	754850.3869
720	754548.4557
721	754475.192
722	754290.5946
723	754174.1084
724	754036.3637
725	753987.4869
726	753889.9557
727	753762.8978
728	753611.9341
729	753553.7389
