iter	Passed	Remaining
0	87	87242
1	110	54981
2	125	41718
3	148	37058
4	163	32502
5	180	29944
6	218	30975
7	258	32017
8	283	31222
9	308	30514
10	331	29768
11	359	29607
12	384	29159
13	405	28584
14	430	28279
15	450	27698
16	471	27272
17	490	26739
18	507	26179
19	528	25876
20	549	25626
21	573	25479
22	593	25197
23	615	25032
24	637	24881
25	661	24796
26	690	24885
27	713	24752
28	737	24676
29	759	24543
30	782	24468
31	812	24579
32	833	24412
33	859	24420
34	883	24349
35	909	24354
36	936	24373
37	961	24338
38	987	24325
39	1012	24308
40	1036	24248
41	1059	24160
42	1087	24193
43	1111	24142
44	1137	24144
45	1164	24145
46	1192	24189
47	1218	24161
48	1243	24135
49	1282	24367
50	1333	24814
51	1363	24856
52	1392	24873
53	1419	24872
54	1441	24768
55	1463	24667
56	1487	24601
57	1514	24598
58	1542	24604
59	1567	24553
60	1597	24588
61	1616	24458
62	1645	24477
63	1673	24477
64	1708	24580
65	1763	24949
66	1819	25338
67	1855	25430
68	1881	25379
69	1903	25283
70	1930	25260
71	1950	25142
72	1977	25108
73	2002	25058
74	2027	25008
75	2055	24994
76	2082	24963
77	2115	25005
78	2137	24920
79	2168	24942
80	2199	24958
81	2222	24877
82	2245	24806
83	2271	24772
84	2302	24781
85	2324	24707
86	2354	24710
87	2379	24656
88	2401	24578
89	2423	24508
90	2447	24444
91	2468	24363
92	2491	24295
93	2516	24255
94	2540	24206
95	2562	24131
96	2584	24062
97	2601	23947
98	2623	23879
99	2647	23830
100	2661	23691
101	2694	23719
102	2718	23677
103	2740	23614
104	2772	23628
105	2803	23641
106	2836	23672
107	2860	23625
108	2889	23617
109	2916	23595
110	2945	23587
111	2964	23500
112	2991	23482
113	3010	23399
114	3034	23350
115	3067	23373
116	3101	23407
117	3127	23379
118	3156	23368
119	3191	23403
120	3220	23395
121	3244	23351
122	3271	23328
123	3303	23338
124	3331	23317
125	3357	23292
126	3386	23277
127	3408	23220
128	3433	23184
129	3459	23151
130	3481	23094
131	3505	23049
132	3527	22993
133	3553	22962
134	3584	22968
135	3614	22959
136	3637	22914
137	3664	22892
138	3693	22878
139	3719	22849
140	3745	22818
141	3771	22786
142	3796	22753
143	3821	22717
144	3850	22702
145	3873	22654
146	3898	22619
147	3926	22602
148	3956	22595
149	3985	22584
150	4013	22566
151	4037	22526
152	4069	22526
153	4099	22521
154	4126	22495
155	4156	22488
156	4184	22468
157	4207	22420
158	4236	22409
159	4262	22378
160	4289	22355
161	4312	22308
162	4343	22302
163	4375	22305
164	4398	22260
165	4425	22233
166	4457	22234
167	4485	22215
168	4511	22181
169	4536	22147
170	4560	22109
171	4585	22076
172	4637	22167
173	4663	22139
174	4692	22123
175	4720	22102
176	4744	22062
177	4767	22015
178	4790	21972
179	4817	21944
180	4841	21906
181	4867	21875
182	4893	21848
183	4922	21829
184	4947	21794
185	4968	21744
186	4994	21714
187	5023	21696
188	5046	21655
189	5076	21641
190	5110	21644
191	5137	21619
192	5161	21584
193	5188	21556
194	5209	21506
195	5237	21483
196	5260	21441
197	5292	21438
198	5315	21396
199	5341	21367
200	5372	21357
201	5398	21326
202	5424	21297
203	5441	21234
204	5469	21212
205	5497	21189
206	5526	21172
207	5561	21178
208	5585	21138
209	5612	21112
210	5634	21069
211	5662	21047
212	5687	21015
213	5712	20980
214	5741	20962
215	5765	20928
216	5789	20888
217	5820	20878
218	5853	20874
219	5882	20854
220	5904	20812
221	5926	20767
222	5952	20740
223	5980	20719
224	6008	20695
225	6046	20708
226	6094	20754
227	6120	20723
228	6143	20682
229	6166	20645
230	6188	20603
231	6207	20549
232	6231	20513
233	6255	20478
234	6276	20431
235	6302	20401
236	6332	20386
237	6355	20346
238	6383	20326
239	6412	20307
240	6437	20272
241	6464	20247
242	6483	20198
243	6506	20159
244	6534	20136
245	6560	20107
246	6588	20084
247	6615	20058
248	6651	20060
249	6683	20051
250	6730	20085
251	6761	20069
252	6790	20047
253	6818	20027
254	6843	19992
255	6872	19972
256	6896	19939
257	6923	19911
258	6955	19899
259	6984	19877
260	7011	19851
261	7038	19826
262	7065	19798
263	7093	19774
264	7118	19742
265	7143	19710
266	7161	19660
267	7195	19653
268	7220	19622
269	7250	19602
270	7278	19578
271	7299	19537
272	7329	19517
273	7363	19511
274	7399	19507
275	7444	19529
276	7462	19477
277	7490	19452
278	7523	19441
279	7562	19446
280	7587	19414
281	7618	19397
282	7650	19383
283	7684	19374
284	7711	19345
285	7733	19307
286	7760	19280
287	7787	19253
288	7808	19210
289	7832	19176
290	7860	19150
291	7882	19113
292	7908	19082
293	7936	19058
294	8008	19138
295	8035	19111
296	8063	19085
297	8091	19060
298	8116	19028
299	8139	18991
300	8167	18968
301	8191	18931
302	8214	18896
303	8243	18873
304	8266	18836
305	8295	18814
306	8319	18779
307	8346	18752
308	8374	18727
309	8404	18707
310	8430	18677
311	8460	18656
312	8490	18636
313	8518	18611
314	8543	18579
315	8574	18559
316	8601	18532
317	8626	18501
318	8656	18479
319	8691	18468
320	8717	18439
321	8744	18412
322	8772	18386
323	8794	18349
324	8811	18301
325	8840	18278
326	8868	18253
327	8899	18233
328	8929	18211
329	8958	18188
330	8982	18154
331	9008	18125
332	9034	18095
333	9063	18073
334	9091	18047
335	9117	18018
336	9146	17994
337	9175	17970
338	9203	17945
339	9225	17908
340	9252	17881
341	9278	17852
342	9301	17817
343	9332	17796
344	9355	17761
345	9378	17726
346	9403	17695
347	9425	17659
348	9449	17627
349	9474	17596
350	9498	17562
351	9523	17531
352	9553	17510
353	9578	17479
354	9600	17443
355	9628	17417
356	9655	17390
357	9682	17363
358	9708	17335
359	9731	17301
360	9757	17271
361	9781	17239
362	9812	17218
363	9834	17183
364	9863	17159
365	9894	17139
366	9924	17117
367	9949	17086
368	9974	17056
369	9994	17018
370	10016	16982
371	10045	16958
372	10062	16915
373	10086	16882
374	10112	16854
375	10134	16819
376	10162	16794
377	10191	16769
378	10230	16762
379	10276	16766
380	10314	16757
381	10350	16744
382	10384	16729
383	10424	16722
384	10453	16697
385	10482	16674
386	10519	16662
387	10551	16642
388	10583	16623
389	10614	16602
390	10634	16563
391	10660	16535
392	10689	16510
393	10716	16482
394	10748	16462
395	10789	16456
396	10838	16462
397	10878	16454
398	10914	16440
399	10936	16404
400	10971	16388
401	11039	16422
402	11071	16401
403	11111	16392
404	11144	16373
405	11171	16343
406	11196	16313
407	11215	16273
408	11246	16251
409	11276	16227
410	11301	16196
411	11329	16169
412	11360	16146
413	11392	16124
414	11418	16095
415	11444	16066
416	11478	16047
417	11507	16022
418	11537	15998
419	11570	15977
420	11600	15953
421	11630	15930
422	11650	15892
423	11675	15860
424	11706	15838
425	11727	15801
426	11757	15778
427	11785	15751
428	11810	15719
429	11843	15698
430	11866	15666
431	11893	15638
432	11921	15611
433	11955	15591
434	11986	15568
435	12017	15545
436	12043	15516
437	12072	15490
438	12105	15470
439	12135	15444
440	12262	15543
441	12315	15547
442	12348	15525
443	12382	15505
444	12411	15478
445	12438	15449
446	12466	15423
447	12502	15404
448	12532	15379
449	12564	15356
450	12596	15333
451	12901	15641
452	12963	15653
453	12994	15627
454	13031	15608
455	13066	15587
456	13117	15586
457	13150	15562
458	13180	15535
459	13207	15504
460	13225	15463
461	13255	15435
462	13284	15407
463	13308	15373
464	13336	15344
465	13364	15315
466	13390	15282
467	13418	15253
468	13441	15218
469	13470	15190
470	13500	15163
471	13530	15136
472	13570	15119
473	13599	15091
474	13627	15062
475	13651	15028
476	13680	14999
477	13707	14968
478	13733	14937
479	13758	14905
480	13785	14875
481	13817	14849
482	13841	14815
483	13866	14782
484	13895	14755
485	13924	14726
486	13945	14690
487	13967	14654
488	13997	14627
489	14022	14594
490	14048	14563
491	14077	14535
492	14101	14501
493	14128	14471
494	14154	14440
495	14177	14406
496	14204	14375
497	14234	14348
498	14262	14319
499	14284	14284
500	14308	14251
501	14335	14221
502	14362	14191
503	14392	14163
504	14420	14134
505	14450	14107
506	14477	14077
507	14503	14046
508	14530	14016
509	14556	13986
510	14587	13959
511	14617	13932
512	14644	13902
513	14668	13869
514	14695	13839
515	14721	13808
516	14750	13780
517	14777	13750
518	14802	13718
519	14834	13693
520	14860	13662
521	14887	13632
522	14913	13601
523	14945	13576
524	14970	13544
525	14999	13516
526	15029	13489
527	15058	13461
528	15085	13431
529	15122	13410
530	15167	13396
531	15196	13368
532	15224	13339
533	15249	13307
534	15278	13279
535	15304	13249
536	15330	13218
537	15357	13187
538	15384	13158
539	15412	13129
540	15439	13099
541	15465	13068
542	15493	13039
543	15520	13009
544	15547	12980
545	15576	12951
546	15608	12926
547	15638	12899
548	15669	12872
549	15697	12843
550	15729	12817
551	15755	12786
552	15781	12756
553	15805	12724
554	15828	12691
555	15853	12660
556	15875	12626
557	15903	12597
558	15923	12562
559	15953	12534
560	15977	12502
561	16002	12471
562	16034	12445
563	16064	12418
564	16088	12386
565	16114	12356
566	16137	12324
567	16163	12293
568	16190	12263
569	16213	12230
570	16234	12197
571	16260	12166
572	16285	12135
573	16312	12106
574	16342	12079
575	16370	12050
576	16403	12025
577	16427	11993
578	16454	11964
579	16481	11934
580	16508	11905
581	16536	11876
582	16563	11847
583	16589	11816
584	16620	11790
585	16654	11766
586	16685	11739
587	16715	11712
588	16750	11688
589	16782	11662
590	16808	11632
591	16834	11601
592	16857	11569
593	16887	11542
594	16913	11512
595	16938	11481
596	16965	11452
597	16993	11423
598	17021	11394
599	17051	11367
600	17076	11336
601	17108	11311
602	17133	11280
603	17157	11248
604	17184	11219
605	17210	11189
606	17244	11164
607	17271	11135
608	17298	11106
609	17315	11070
610	17342	11041
611	17370	11012
612	17395	10982
613	17419	10951
614	17446	10921
615	17475	10893
616	17514	10872
617	17555	10851
618	17584	10823
619	17611	10793
620	17642	10767
621	17670	10738
622	17691	10705
623	17719	10676
624	17740	10644
625	17762	10611
626	17790	10583
627	17822	10557
628	17846	10526
629	17875	10498
630	17902	10468
631	17931	10441
632	17956	10410
633	17988	10384
634	18017	10356
635	18050	10330
636	18080	10303
637	18110	10275
638	18143	10249
639	18174	10223
640	18197	10191
641	18226	10163
642	18257	10136
643	18279	10104
644	18309	10077
645	18340	10050
646	18369	10022
647	18397	9993
648	18425	9964
649	18452	9936
650	18479	9906
651	18504	9876
652	18533	9848
653	18560	9819
654	18588	9790
655	18612	9760
656	18633	9727
657	18658	9697
658	18680	9666
659	18702	9634
660	18728	9605
661	18751	9574
662	18784	9548
663	18811	9519
664	18837	9489
665	18864	9460
666	18890	9431
667	18920	9403
668	18951	9376
669	18976	9346
670	19005	9318
671	19029	9288
672	19058	9260
673	19086	9231
674	19109	9200
675	19130	9169
676	19154	9138
677	19180	9109
678	19205	9079
679	19235	9051
680	19257	9020
681	19283	8991
682	19312	8963
683	19341	8935
684	19372	8908
685	19400	8879
686	19426	8850
687	19453	8822
688	19483	8794
689	19508	8764
690	19534	8735
691	19577	8713
692	19607	8686
693	19631	8655
694	19660	8627
695	19688	8599
696	19724	8574
697	19756	8547
698	19788	8521
699	19808	8489
700	19833	8459
701	19865	8432
702	19894	8404
703	19923	8377
704	19955	8350
705	19986	8322
706	20011	8293
707	20038	8264
708	20067	8236
709	20096	8208
710	20122	8179
711	20151	8151
712	20188	8126
713	20222	8100
714	20248	8070
715	20281	8044
716	20315	8018
717	20348	7991
718	20374	7962
719	20400	7933
720	20428	7905
721	20455	7876
722	20483	7847
723	20518	7821
724	20562	7799
725	20600	7775
726	20633	7748
727	20671	7723
728	20699	7695
729	20728	7666
730	20761	7639
731	20792	7612
732	20829	7587
733	20855	7557
734	20882	7529
735	20917	7502
736	20944	7474
737	20975	7446
738	21018	7423
739	21054	7397
740	21085	7369
741	21118	7343
742	21147	7314
743	21182	7288
744	21211	7260
745	21238	7231
746	21263	7201
747	21292	7173
748	21321	7145
749	21350	7116
750	21376	7087
751	21418	7063
752	21440	7032
753	21460	7001
754	21486	6972
755	21524	6947
756	21551	6918
757	21577	6888
758	21604	6859
759	21633	6831
760	21666	6804
761	21692	6775
762	21716	6745
763	21752	6719
764	21783	6691
765	21810	6662
766	21837	6633
767	21866	6605
768	21896	6577
769	21925	6549
770	21951	6520
771	21983	6492
772	22020	6466
773	22038	6435
774	22066	6406
775	22093	6377
776	22119	6348
777	22146	6319
778	22176	6291
779	22206	6263
780	22237	6235
781	22264	6206
782	22296	6179
783	22320	6149
784	22348	6120
785	22382	6093
786	22409	6065
787	22432	6035
788	22459	6006
789	22491	5978
790	22522	5950
791	22549	5922
792	22576	5893
793	22604	5864
794	22632	5835
795	22661	5807
796	22691	5779
797	22721	5751
798	22751	5723
799	22781	5695
800	22807	5666
801	22827	5635
802	22854	5606
803	22888	5579
804	22922	5552
805	22953	5524
806	22977	5495
807	23004	5466
808	23038	5439
809	23061	5409
810	23093	5381
811	23200	5371
812	23245	5346
813	23288	5321
814	23328	5295
815	23363	5268
816	23393	5239
817	23425	5212
818	23451	5182
819	23483	5154
820	23509	5125
821	23539	5097
822	23567	5068
823	23592	5039
824	23612	5008
825	23637	4979
826	23657	4948
827	23681	4919
828	23708	4890
829	23735	4861
830	23766	4833
831	23793	4804
832	23819	4775
833	23844	4745
834	23871	4717
835	23900	4688
836	23921	4658
837	23958	4631
838	23997	4604
839	24026	4576
840	24058	4548
841	24091	4520
842	24122	4492
843	24146	4463
844	24173	4434
845	24205	4406
846	24234	4377
847	24268	4349
848	24297	4321
849	24358	4298
850	24387	4269
851	24413	4240
852	24448	4213
853	24473	4183
854	24508	4156
855	24529	4126
856	24554	4097
857	24583	4068
858	24607	4039
859	24634	4010
860	24663	3981
861	24689	3952
862	24718	3923
863	24744	3895
864	24765	3865
865	24794	3836
866	24828	3808
867	24852	3779
868	24885	3751
869	24917	3723
870	24944	3694
871	24975	3666
872	25006	3637
873	25036	3609
874	25064	3580
875	25097	3552
876	25120	3523
877	25154	3495
878	25186	3467
879	25216	3438
880	25244	3409
881	25277	3381
882	25309	3353
883	25336	3324
884	25366	3296
885	25393	3267
886	25419	3238
887	25438	3208
888	25471	3180
889	25499	3151
890	25524	3122
891	25551	3093
892	25582	3065
893	25608	3036
894	25636	3007
895	25689	2981
896	25738	2955
897	25772	2927
898	25796	2898
899	25823	2869
900	25848	2840
901	25882	2812
902	25909	2783
903	25943	2755
904	25978	2727
905	26011	2698
906	26039	2670
907	26075	2642
908	26106	2613
909	26143	2585
910	26181	2557
911	26213	2529
912	26234	2499
913	26259	2470
914	26288	2442
915	26311	2412
916	26339	2384
917	26369	2355
918	26390	2326
919	26424	2297
920	26474	2270
921	26507	2242
922	26545	2214
923	26576	2185
924	26607	2157
925	26640	2128
926	26667	2100
927	26697	2071
928	26730	2042
929	26755	2013
930	26786	1985
931	26813	1956
932	26848	1928
933	26887	1900
934	26916	1871
935	26951	1842
936	26983	1814
937	27021	1786
938	27045	1756
939	27070	1727
940	27097	1699
941	27127	1670
942	27153	1641
943	27178	1612
944	27203	1583
945	27229	1554
946	27261	1525
947	27286	1496
948	27311	1467
949	27336	1438
950	27369	1410
951	27396	1381
952	27429	1352
953	27456	1323
954	27484	1295
955	27510	1266
956	27539	1237
957	27568	1208
958	27595	1179
959	27621	1150
960	27654	1122
961	27684	1093
962	27710	1064
963	27736	1035
964	27765	1007
965	27794	978
966	27824	949
967	27856	920
968	27904	892
969	27938	864
970	27960	835
971	27991	806
972	28019	777
973	28047	748
974	28075	719
975	28107	691
976	28131	662
977	28155	633
978	28181	604
979	28215	575
980	28240	546
981	28270	518
982	28305	489
983	28332	460
984	28364	431
985	28392	403
986	28422	374
987	28452	345
988	28481	316
989	28509	287
990	28540	259
991	28568	230
992	28595	201
993	28627	172
994	28653	143
995	28677	115
996	28705	86
997	28735	57
998	28766	28
999	28790	0
